timestamp,close,high,low,open,volume,availability_time
2025-02-18,404.8374328613281,405.78616946504144,401.7342314553049,403.2166455935164,21423100,2025-02-19 09:00:00
2025-02-19,409.9073181152344,410.6188782021152,402.8707962337448,403.09811062253897,24114200,2025-02-20 09:00:00
2025-02-20,412.0759582519531,415.2249706128277,408.520936591177,411.24414537664296,23508700,2025-02-21 09:00:00
2025-02-21,404.23309326171875,413.9772255480723,403.9162337604133,413.27415103230015,27524800,2025-02-22 09:00:00
2025-02-24,400.0641174316406,405.38179653354615,395.4297185716828,404.5301894031576,26443700,2025-02-25 09:00:00
2025-02-25,394.0235595703125,398.00441513588805,392.8352683816966,397.1923965138258,29387400,2025-02-26 09:00:00
2025-02-26,395.83575439453125,399.66804717869115,390.40913086553707,394.13250979931917,19619000,2025-02-27 09:00:00
2025-02-27,388.70587158203125,401.78716793671936,388.3493932994261,397.3607146060961,21127400,2025-02-28 09:00:00
2025-02-28,393.1224365234375,393.7562160246685,382.8039671137811,388.83463352266693,32845700,2025-03-01 09:00:00
2025-03-03,384.7052307128906,394.93461038215554,382.39794340981075,394.93461038215554,23007700,2025-03-04 09:00:00
2025-03-04,384.82403564453125,388.75535997703025,377.2881889484286,379.6648014174362,29342900,2025-03-05 09:00:00
2025-03-05,397.1131591796875,397.7568509049982,385.02212029604283,385.54695570418704,23433100,2025-03-06 09:00:00
2025-03-06,393.0234069824219,398.2321421191711,388.8544001591339,390.43881857931865,23304600,2025-03-07 09:00:00
2025-03-07,389.478271484375,390.9537458547577,381.7839796807534,388.497925986767,22034100,2025-03-08 09:00:00
2025-03-10,376.4563903808594,382.6355890788174,373.5450301742595,382.08104715568106,32840100,2025-03-11 09:00:00
2025-03-11,376.74359130859375,382.23950999896846,373.2380702422645,375.30770541349494,30380200,2025-03-12 09:00:00
2025-03-12,379.53607177734375,381.4670864515663,375.2581813231993,379.21921226907705,24253600,2025-03-13 09:00:00
2025-03-13,375.0799255371094,381.5661320778761,373.7728082450696,379.4271716632625,20473000,2025-03-14 09:00:00
2025-03-14,384.7745666503906,386.42831046600287,375.8127456880931,376.0801044136148,19952800,2025-03-15 09:00:00
2025-03-17,384.9132080078125,388.88412112316473,381.813696346666,382.9326924641042,22474300,2025-03-18 09:00:00
2025-03-18,379.7836608886719,383.59615946585757,377.38725393405446,383.29909421372145,19486900,2025-03-19 09:00:00
2025-03-19,384.0417785644531,385.8836435250732,380.2589866011294,381.7740797920575,19185500,2025-03-20 09:00:00
2025-03-20,383.07135009765625,387.97313863322194,379.5460345045817,381.98206039861145,18470500,2025-03-21 09:00:00
2025-03-21,387.4482421875,387.92354654843615,379.0706401827953,379.4865617188815,39675900,2025-03-22 09:00:00
2025-03-24,389.2505187988281,391.54792412450786,386.012386704804,391.54792412450786,21004500,2025-03-25 09:00:00
2025-03-25,391.31024169921875,392.49853282327706,388.8148031404558,390.082331804945,15775000,2025-03-26 09:00:00
2025-03-26,386.1708068847656,391.4587795188397,384.784452111458,391.1518020411883,16108400,2025-03-27 09:00:00
2025-03-27,386.77490234375,388.41873402068063,383.6258895962636,386.3293044381274,13766800,2025-03-28 09:00:00
2025-03-28,375.1096496582031,385.339029849346,373.2578723723651,384.2992410074857,21632000,2025-03-29 09:00:00
2025-03-31,371.7328796386719,373.3965054432232,363.6622546184452,368.91063894364476,35184700,2025-04-01 09:00:00
2025-04-01,378.46661376953125,379.120187514209,369.59391274714585,371.00006183577835,19689500,2025-04-02 09:00:00
2025-04-02,378.4171447753906,381.3284750168948,372.95090216784337,374.2877562933966,16092600,2025-04-03 09:00:00
2025-04-03,369.4750671386719,373.80251903809335,365.7517184220645,371.13872318254886,30198000,2025-04-04 09:00:00
2025-04-04,356.3343505859375,370.94065262193254,355.97787229621173,360.5825648601157,49209900,2025-04-05 09:00:00
2025-04-07,354.3736572265625,367.38565979064595,341.43101018463227,347.4616768226877,50425000,2025-04-08 09:00:00
2025-04-08,351.1058349609375,370.00985444922924,346.83782587387293,364.6723801381887,35868900,2025-04-09 09:00:00
2025-04-09,386.68572998046875,389.39905670107095,349.66000929830324,350.0957251156184,50199700,2025-04-10 09:00:00
2025-04-10,377.6347961425781,380.1599412978202,364.21678559967916,378.33787067807094,38024400,2025-04-11 09:00:00
2025-04-11,384.6656188964844,386.25000705363004,375.1987576222842,376.9317086118959,23839200,2025-04-12 09:00:00
2025-04-14,384.0318603515625,390.8052198187617,380.46692636349223,389.38915847164185,19251200,2025-04-15 09:00:00
2025-04-15,381.9721374511719,388.07212889209285,380.41742551182244,384.7250528209778,17199900,2025-04-16 09:00:00
2025-04-16,367.9897155761719,377.8922943572031,364.41489914195023,376.9614797544366,21967800,2025-04-17 09:00:00
2025-04-17,364.19696044921875,370.673253997748,363.3156468476557,370.1087998795162,21120200,2025-04-18 09:00:00
2025-04-21,355.6213684082031,360.9291658129438,352.20499720618693,359.2853342749941,20807300,2025-04-22 09:00:00
2025-04-22,363.2463684082031,364.18709517298703,356.3541524572501,359.83987920585236,19485000,2025-04-23 09:00:00
2025-04-23,370.7426452636719,376.6841922722663,369.38596664501534,372.396358924379,20545500,2025-04-24 09:00:00
2025-04-24,383.5267639160156,384.66558435456824,371.5347586504801,372.03979970687254,22232300,2025-04-25 09:00:00
2025-04-25,388.0325012207031,388.33947870228997,380.8531326101871,383.2297451406492,18973200,2025-04-26 09:00:00
2025-04-28,387.3492126464844,388.9138065441973,382.87325863987553,388.1414067328739,16579400,2025-04-29 09:00:00
